"		지점번호",지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),"	최고기온일자",평균최저기온(℃),최저기온(℃),최저기온일자
"		108",서울,Jun-32,21.7,27.6,32.1,1932-06-30,17.4,12.4,1932-06-01
"		108",서울,Jul-32,25.9,31.3,36.3,1932-07-31,22.7,18.8,1932-07-01
"		108",서울,Aug-32,25.6,30.7,37.2,1932-08-02,22.2,17.8,1932-08-21
"		108",서울,Sep-32,20.2,26.5,29.5,1932-09-14,15.8,12.6,1932-09-30
"		108",서울,Oct-32,12.2,19.4,26.5,1932-10-01,6.9,0.3,1932-10-25
"		108",서울,Nov-32,5.8,12.3,22.5,1932-11-05,0.5,-6.5,1932-11-08
"		108",서울,Dec-32,0.6,5,12.5,1932-12-01,-3.4,-11.4,1932-12-13
"		108",서울,Jan-33,-6.4,-2.4,6.1,1933-01-10,-11.5,-18.4,1933-01-27
"		108",서울,Feb-33,-3.7,0.7,6.6,1933-02-06,-8.4,-14.2,1933-02-04
"		108",서울,Mar-33,0.6,5.1,12.5,1933-03-24,-3.2,-12.8,1933-03-06
"		108",서울,Apr-33,10.2,16.5,25.5,1933-04-30,5.4,-0.5,1933-04-01
"		108",서울,May-33,16.3,22.3,29,1933-05-25,11.9,4,1933-05-06
"		108",서울,Jun-33,20.7,26.2,31.3,1933-06-22,16.7,10.6,1933-06-02
"		108",서울,Jul-33,25.5,30.3,35.9,1933-07-21,22.4,19.1,1933-07-02
"		108",서울,Aug-33,24.1,28.3,32.5,1933-08-02,21.3,18,1933-08-23
"		108",서울,Sep-33,20.1,25.5,30.2,1933-09-01,15.9,6.5,1933-09-28
"		108",서울,Oct-33,13,18.5,25.8,1933-10-04,8.4,1.4,1933-10-30
"		108",서울,Nov-33,5.5,10.7,16.3,1933-11-10,1,-5,1933-11-07
"		108",서울,Dec-33,0.4,4.2,12.7,1933-12-07,-3.3,-10.5,1933-12-24
"		108",서울,Jan-34,-8.3,-3.6,2.8,1934-01-29,-12.8,-18.7,1934-01-12
"		108",서울,Feb-34,-2.3,2.1,5.7,1934-02-17,-6.7,-12.2,1934-02-06
"		108",서울,Mar-34,2,6.9,16.3,1934-03-25,-2.5,-9.1,1934-03-05
"		108",서울,Apr-34,9.1,15.3,24.8,1934-04-27,4,-1.5,1934-04-02
"		108",서울,May-34,16.9,23.3,28.6,1934-05-16,11.8,4.2,1934-05-02
"		108",서울,Jun-34,20.2,25.2,31.9,1934-06-22,16.3,11.5,1934-06-06
"		108",서울,Jul-34,23.8,27.2,31.7,1934-07-07,21,18,1934-07-16
"		108",서울,Aug-34,24.1,28,33.4,1934-08-07,21.2,16,1934-08-27
"		108",서울,Sep-34,19.3,24.6,29,1934-09-01,15.4,9.5,1934-09-23
"		108",서울,Oct-34,11.7,18,23.3,1934-10-13,6.1,-0.8,1934-10-25
"		108",서울,Nov-34,4.3,9.3,14.5,1934-11-04,-0.3,-9.2,1934-11-29
"		108",서울,Dec-34,0.8,5.2,9.5,1934-12-10,-3.4,-8.7,1934-12-05
"		108",서울,Jan-35,-3.2,1,9,1935-01-12,-7.2,-13.1,1935-01-22
"		108",서울,Feb-35,-0.2,5.5,16,1935-02-26,-5.5,-14.9,1935-02-07
"		108",서울,Mar-35,5.1,10.4,19.1,1935-03-18,0.3,-4,1935-03-05
"		108",서울,Apr-35,10.3,16.8,24.7,1935-04-08,4.7,-0.9,1935-04-01
"		108",서울,May-35,16,22.2,30.1,1935-05-24,10.9,4.1,1935-05-01
"		108",서울,Jun-35,20.1,25.7,29.8,1935-06-02,16,12.4,1935-06-05
"		108",서울,Jul-35,23.8,28.5,32.6,1935-07-25,20.4,17.3,1935-07-21
"		108",서울,Aug-35,25,30.1,33.5,1935-08-03,21.3,16.1,1935-08-31
"		108",서울,Sep-35,20.3,27,33,1935-09-08,15,6.1,1935-09-14
"		108",서울,Oct-35,14.6,20.6,25.4,1935-10-10,9.4,3.3,1935-10-08
"		108",서울,Nov-35,6.6,11.6,20.2,1935-11-01,2.1,-6,1935-11-17
"		108",서울,Dec-35,-3.9,0.7,12.5,1935-12-07,-8.4,-16.9,1935-12-30
"		108",서울,Jan-36,-8.8,-4,3.1,1936-01-28,-13.6,-20.1,1936-01-17
"		108",서울,Feb-36,-4.4,0.1,9.2,1936-02-16,-8.8,-17.5,1936-02-05
"		108",서울,Mar-36,-0.2,5,12,1936-03-31,-4.6,-13.7,1936-03-02
"		108",서울,Apr-36,9.1,15.2,22.5,1936-04-17,4,-2,1936-04-01
"		108",서울,May-36,15.8,22.5,27.4,1936-05-18,10.5,6.4,1936-05-01
"		108",서울,Jun-36,20.7,26.5,32.1,1936-06-16,16.4,9.9,1936-06-04
"		108",서울,Jul-36,23.6,28.4,34.3,1936-07-23,20.2,15.6,1936-07-05
"		108",서울,Aug-36,22.7,26.9,30.7,1936-08-17,19.7,16.8,1936-08-28
"		108",서울,Sep-36,20.1,25.3,29.7,1936-09-01,16.3,10,1936-09-18
"		108",서울,Oct-36,13.2,20.1,24.7,1936-10-10,7.4,0.8,1936-10-23
"		108",서울,Nov-36,5.7,11,17.4,1936-11-03,0.5,-7.7,1936-11-28
"		108",서울,Dec-36,-0.5,3.6,14.6,1936-12-17,-4.7,-9.3,1936-12-22
"		108",서울,Jan-37,-3.6,0.7,9.8,1937-01-04,-7.5,-13.2,1937-01-11
"		108",서울,Feb-37,0.1,4.4,11,1937-02-22,-3.9,-11.7,1937-02-03
"		108",서울,Mar-37,3.6,8.7,18.8,1937-03-23,-1.1,-5.3,1937-03-17
"		108",서울,Apr-37,10.6,16.6,26.4,1937-04-29,5.7,-0.7,1937-04-02
"		108",서울,May-37,15.8,22.2,26.2,1937-05-23,10.8,6.8,1937-05-08
"		108",서울,Jun-37,21.6,28,32.5,1937-06-24,16.5,11.4,1937-06-01
"		108",서울,Jul-37,24.6,29.8,34.4,1937-07-25,20.8,16.6,1937-07-01
"		108",서울,Aug-37,26.7,32,35.1,1937-08-17,23,18.5,1937-08-27
"		108",서울,Sep-37,20.3,26.4,29.8,1937-09-01,15.6,7.3,1937-09-28
"		108",서울,Oct-37,13.8,20.1,26.9,1937-10-02,8.5,-0.5,1937-10-18
"		108",서울,Nov-37,7.2,12.2,22.1,1937-11-05,2.5,-6,1937-11-25
"		108",서울,Dec-37,-3.9,0.7,11.1,1937-12-17,-8.4,-16,1937-12-27
"		108",서울,Jan-38,-6.3,-1.5,6.3,1938-01-17,-11.3,-19,1938-01-27
"		108",서울,Feb-38,-3.3,1.4,14.7,1938-02-28,-8,-14.3,1938-02-09
"		108",서울,Mar-38,4.7,9.4,19,1938-03-20,0.5,-6,1938-03-07
"		108",서울,Apr-38,11.4,17.6,27.3,1938-04-21,6.1,0.2,1938-04-09
"		108",서울,May-38,16.5,21.9,30.4,1938-05-27,12.2,6.8,1938-05-10
"		108",서울,Jun-38,20,25.4,32.2,1938-06-23,15.9,13.2,1938-06-19
"		108",서울,Jul-38,25.2,30.3,34.7,1938-07-26,21.6,18.2,1938-07-04
"		108",서울,Aug-38,26.3,31.9,35.6,1938-08-07,22.3,19.5,1938-08-31
"		108",서울,Sep-38,19.3,25.8,32.1,1938-09-01,14.1,9.5,1938-09-25
"		108",서울,Oct-38,15,20.9,27.8,1938-10-03,10,3.7,1938-10-26
"		108",서울,Nov-38,4.8,10.4,19.5,1938-11-04,-0.5,-6.5,1938-11-12
"		108",서울,Dec-38,-2.3,1.7,11.8,1938-12-03,-6.4,-15.7,1938-12-29
"		108",서울,Jan-39,-5.2,-0.8,5.4,1939-01-30,-10,-19.6,1939-01-06
"		108",서울,Feb-39,-2,3.4,10.1,1939-02-27,-6.7,-16,1939-02-06
"		108",서울,Mar-39,4.1,9.1,17.9,1939-03-09,-0.5,-5.2,1939-03-20
"		108",서울,Apr-39,11.6,18.6,25.7,1939-04-19,5.9,-2.7,1939-04-04
"		108",서울,May-39,15.7,22,29.6,1939-05-28,10.3,5.1,1939-05-03
"		108",서울,Jun-39,20.8,27.2,33.3,1939-06-16,16.2,12,1939-06-05
"		108",서울,Jul-39,27.6,33.7,37.7,1939-07-30,23.2,17.6,1939-07-02
"		108",서울,Aug-39,27.5,34.4,38.2,1939-08-10,22.6,19.4,1939-08-17
"		108",서울,Sep-39,21,27.8,35.1,1939-09-02,16.1,5.7,1939-09-30
"		108",서울,Oct-39,14.3,21.2,29.3,1939-10-14,8.3,-1.6,1939-10-21
"		108",서울,Nov-39,5.9,11.1,20.2,1939-11-06,0.8,-10.2,1939-11-26
"		108",서울,Dec-39,-0.9,3.7,8.6,1939-12-05,-5.6,-13.6,1939-12-15
"		108",서울,Jan-40,-7.4,-3.2,7,1940-01-04,-11.4,-17.7,1940-01-10
"		108",서울,Feb-40,-2.3,2.3,9.2,1940-02-24,-6.9,-13.9,1940-02-08
"		108",서울,Mar-40,3.7,9.7,18.2,1940-03-31,-1.4,-7.7,1940-03-15
"		108",서울,Apr-40,9.7,15.8,24.1,1940-04-30,4.8,-0.7,1940-04-07
"		108",서울,May-40,16.3,23.2,30,1940-05-10,10.8,3.3,1940-05-04
"		108",서울,Jun-40,20.1,26.6,32.5,1940-06-21,15.1,10.2,1940-06-07
"		108",서울,Jul-40,23.4,27,33.9,1940-07-31,20.3,17.6,1940-07-06
"		108",서울,Aug-40,24.3,29.1,34.3,1940-08-21,20.7,13.5,1940-08-26
"		108",서울,Sep-40,19.9,26.2,30.2,1940-09-10,14.9,9.3,1940-09-18
"		108",서울,Oct-40,14.7,22.2,28.5,1940-10-04,8.2,0.2,1940-10-26
"		108",서울,Nov-40,6.8,12.1,25.2,1940-11-04,1.9,-5.5,1940-11-26
"		108",서울,Dec-40,-0.2,4.1,11.8,1940-12-06,-4.8,-10.6,1940-12-18
"		108",서울,Jan-41,-3.8,1.2,12.3,1941-01-07,-8.7,-20.4,1941-01-31
"		108",서울,Feb-41,-2.4,2.9,10.9,1941-02-20,-7.4,-18.2,1941-02-01
"		108",서울,Mar-41,3.8,9.6,19.3,1941-03-20,-1.2,-13,1941-03-04
"		108",서울,Apr-41,10,16.3,23.2,1941-04-20,4.6,-0.9,1941-04-06
"		108",서울,May-41,16.7,23,29.2,1941-05-08,11.1,6.2,1941-05-06
"		108",서울,Jun-41,21.2,26.9,32.7,1941-06-27,16.8,13.5,1941-06-02
"		108",서울,Jul-41,23.7,29.4,34.3,1941-07-20,19.4,14.6,1941-07-14
"		108",서울,Aug-41,23.8,28.7,33.6,1941-08-07,20.3,16.1,1941-08-24
"		108",서울,Sep-41,19.7,26.4,31.1,1941-09-02,14.4,10.7,1941-09-21
"		108",서울,Oct-41,12.9,19.4,26.9,1941-10-06,7.1,-1.6,1941-10-27
"		108",서울,Nov-41,7.7,12.9,19.6,1941-11-17,2.5,-8.8,1941-11-29
"		108",서울,Dec-41,0.4,4.5,11.4,1941-12-20,-3.9,-13.6,1941-12-14
"		108",서울,Jan-42,-6.4,-1.7,4.5,1942-01-27,-11.5,-17.9,1942-01-18
"		108",서울,Feb-42,-3.5,1.2,11.3,1942-02-23,-8.3,-16.7,1942-02-13
"		108",서울,Mar-42,5.9,11.5,18.7,1942-03-21,0.9,-4.7,1942-03-08
"		108",서울,Apr-42,9.9,16,26.2,1942-04-25,4.4,-1.4,1942-04-06
"		108",서울,May-42,15.3,21.6,30.5,1942-05-28,10,4.1,1942-05-05
"		108",서울,Jun-42,22,29.3,34.7,1942-06-12,16.4,11.3,1942-06-04
"		108",서울,Jul-42,26,31.7,36,1942-07-24,22.1,18.2,1942-07-07
"		108",서울,Aug-42,25.4,30.4,34.5,1942-08-15,21.6,17.6,1942-08-31
"		108",서울,Sep-42,20,26,32.7,1942-09-03,15.3,8.1,1942-09-30
"		108",서울,Oct-42,12.5,19,27.5,1942-10-03,6.8,-5.1,1942-10-24
"		108",서울,Nov-42,4.7,10.7,21.3,1942-11-04,-0.9,-11.1,1942-11-28
"		108",서울,Dec-42,-1.2,3.4,11,1942-12-17,-6.1,-15.4,1942-12-28
"		108",서울,Jan-43,-6.6,-1,11.5,1943-01-21,-12.1,-18.6,1943-01-12
"		108",서울,Feb-43,-2.4,3.2,10.8,1943-02-27,-8.4,-15.5,1943-02-08
"		108",서울,Mar-43,5.4,11.3,17.5,1943-03-26,0.4,-4.9,1943-03-11
"		108",서울,Apr-43,10.6,17.2,28,1943-04-27,5.1,-1.9,1943-04-08
"		108",서울,May-43,16.7,23.4,27.3,1943-05-30,11.4,8.9,1943-05-06
"		108",서울,Jun-43,21.5,28.4,34.2,1943-06-12,16.1,11.2,1943-06-04
"		108",서울,Jul-43,26,32.3,35.8,1943-07-30,21.4,17,1943-07-25
"		108",서울,Aug-43,27.8,34.6,38.2,1943-08-24,23.1,15.4,1943-08-31
"		108",서울,Sep-43,20.9,27,33.4,1943-09-01,16.1,8.5,1943-09-29
"		108",서울,Oct-43,13.8,20.4,25.3,1943-10-06,8.3,1.8,1943-10-27
"		108",서울,Nov-43,6.1,11.8,22.7,1943-11-03,0.5,-9.2,1943-11-19
"		108",서울,Dec-43,0,4.9,14.2,1943-12-01,-5.1,-11.6,1943-12-26
"		108",서울,Jan-44,-4.3,0.8,8,1944-01-24,-9.7,-16.2,1944-01-06
"		108",서울,Feb-44,-2.4,2.7,9.7,1944-02-29,-8,-13.4,1944-02-08
"		108",서울,Mar-44,3.2,8.9,18.2,1944-03-27,-1.8,-6.6,1944-03-07
"		108",서울,Apr-44,9.6,16.1,23.4,1944-04-30,4.1,-0.9,1944-04-04
"		108",서울,May-44,15.9,22.4,29.3,1944-05-29,10.8,4.6,1944-05-06
"		108",서울,Jun-44,21.4,27.8,34.3,1944-06-20,16.7,12.3,1944-06-09
"		108",서울,Jul-44,25.3,30,36,1944-07-31,21.9,15.2,1944-07-02
"		108",서울,Aug-44,25.5,31.3,35.8,1944-08-02,21.4,15,1944-08-25
"		108",서울,Sep-44,20.7,26.5,30.5,1944-09-09,16.4,10.1,1944-09-30
"		108",서울,Oct-44,13.5,20.6,25.8,1944-10-05,7.5,1.8,1944-10-14
"		108",서울,Nov-44,7.8,13,23.4,1944-11-01,3.1,-4.1,1944-11-13
"		108",서울,Dec-44,-5.7,-0.9,7.2,1944-12-01,-10.4,-15.5,1944-12-27
"		108",서울,Jan-45,-7.8,-2.9,6.2,1945-01-31,-12.9,-19.1,1945-01-27
"		108",서울,Feb-45,-4.9,0.5,11.2,1945-02-28,-9.9,-15.6,1945-02-03
"		108",서울,Mar-45,2.3,6.6,14.7,1945-03-28,-1.6,-8.9,1945-03-08
"		108",서울,Apr-45,11,17.8,28.9,1945-04-29,5.4,-1.2,1945-04-08
"		108",서울,May-45,13.6,19.7,29.2,1945-05-31,9,2.7,1945-05-06
"		108",서울,Jun-45,20.1,25.9,31.5,1945-06-28,15.7,10.7,1945-06-03
"		108",서울,Jul-45,23.2,28.2,32.3,1945-07-27,19.8,16,1945-07-07
"		108",서울,Aug-45,25.5,31.1,37,1945-08-23,22,16.5,1945-08-31
"		108",서울,Sep-45,21.3,27,30,1945-09-04,17,12.6,1945-09-25
"		108",서울,Oct-45,13.5,20.6,25.3,1945-10-07,7.7,0,1945-10-25
"		108",서울,Nov-45,8.4,14.4,21.8,1945-11-05,2.5,-4.2,1945-11-30
"		108",서울,Dec-45,-1.7,3.4,12.7,1945-12-06,-6.4,-14,1945-12-29
"		108",서울,Jan-46,-3.2,1.8,10.5,1946-01-23,-8.3,-15.6,1946-01-18
"		108",서울,Feb-46,-0.7,4.1,10.5,1946-02-28,-5.3,-12.2,1946-02-03
"		108",서울,Mar-46,2.5,7.6,18.6,1946-03-26,-2.1,-10.7,1946-03-08
"		108",서울,Apr-46,10.9,17.2,27.3,1946-04-23,5.5,0.2,1946-04-07
"		108",서울,May-46,16,22.7,29.8,1946-05-30,10.7,6.8,1946-05-13
"		108",서울,Jun-46,20.9,25.8,32.4,1946-06-30,17.3,13.4,1946-06-02
"		108",서울,Jul-46,25.6,30.8,36.7,1946-07-28,22.3,18.4,1946-07-03
"		108",서울,Aug-46,25.7,31,35.5,1946-08-19,22.1,18.9,1946-08-28
"		108",서울,Sep-46,19.9,26.4,30.7,1946-09-08,14.7,9.2,1946-09-22
"		108",서울,Oct-46,13.8,20.5,29.9,1946-10-01,8.1,0.4,1946-10-29
"		108",서울,Nov-46,8.8,14.9,22.1,1946-11-05,3.4,-7.3,1946-11-29
"		108",서울,Dec-46,-4.3,-0.2,8.7,1946-12-02,-9.2,-17,1946-12-29
"		108",서울,Jan-47,-3.9,0.2,7.1,1947-01-05,-8.4,-15.1,1947-01-28
"		108",서울,Feb-47,-5.3,-0.5,8.4,1947-02-25,-10,-17.2,1947-02-03
"		108",서울,Mar-47,1.5,6.3,16,1947-03-19,-3.2,-10.6,1947-03-04
"		108",서울,Apr-47,10.5,16.6,24.2,1947-04-28,5.1,-1,1947-04-05
"		108",서울,May-47,15.9,22.8,28.2,1947-05-28,10.5,7.2,1947-05-09
"		108",서울,Jun-47,18.7,24.4,27.5,1947-06-14,14.4,10.3,1947-06-05
"		108",서울,Jul-47,22.9,27,33.1,1947-07-31,19.6,17,1947-07-28
"		108",서울,Aug-47,25.1,30,33.5,1947-08-02,21.7,17,1947-08-05
"		108",서울,Sep-47,19.6,25.2,29.9,1947-09-05,15.2,10.1,1947-09-30
"		108",서울,Oct-47,11.8,18.3,24.7,1947-10-03,6.3,-1.6,1947-10-30
"		108",서울,Nov-47,3.5,8.7,17.9,1947-11-07,-1.8,-11.8,1947-11-27
"		108",서울,Dec-47,-5.4,-1.5,7.1,1947-12-07,-9.5,-17.3,1947-12-19
"		108",서울,Jan-48,-4.5,0.1,10.5,1948-01-20,-9.2,-18,1948-01-27
"		108",서울,Feb-48,-1.4,3.5,13.7,1948-02-27,-6.6,-15.8,1948-02-03
"		108",서울,Mar-48,4.7,9.9,16.8,1948-03-31,-0.1,-6.8,1948-03-05
"		108",서울,Apr-48,12.5,19.3,25,1948-04-30,7.1,3.9,1948-04-11
"		108",서울,May-48,16,22.7,28.9,1948-05-31,10.5,6.4,1948-05-15
"		108",서울,Jun-48,20.9,26.6,31.1,1948-06-07,16.2,9.7,1948-06-01
"		108",서울,Jul-48,24.3,28.9,32.9,1948-07-11,20.7,16.7,1948-07-05
"		108",서울,Aug-48,25.8,31.4,34.4,1948-08-31,21.9,19,1948-08-24
"		108",서울,Sep-48,20.2,26.4,33.6,1948-09-01,15.2,10.2,1948-09-24
"		108",서울,Oct-48,13.3,20.2,26.5,1948-10-02,7.5,-0.8,1948-10-31
"		108",서울,Nov-48,5.1,11.1,18.2,1948-11-05,-0.4,-8.7,1948-11-28
"		108",서울,Dec-48,3.8,7.7,12.9,1948-12-18,-0.2,-7.7,1948-12-03
"		108",서울,Jan-49,-3,0.9,9.4,1949-01-31,-6.5,-14,1949-01-06
"		108",서울,Feb-49,1.3,6.2,15.5,1949-02-22,-3,-10.1,1949-02-15
"		108",서울,Mar-49,3.4,8.8,14.4,1949-03-29,-1,-5.4,1949-03-03
"		108",서울,Apr-49,9.9,16,23.8,1949-04-29,5,0.8,1949-04-06
"		108",서울,May-49,16.4,22.5,30.6,1949-05-11,11.9,6.8,1949-05-14
"		108",서울,Jun-49,20.5,26.8,36,1949-06-20,16,10.9,1949-06-11
"		108",서울,Jul-49,24.8,30.4,34.1,1949-07-24,21,17,1949-07-10
"		108",서울,Aug-49,26.1,32.3,37.7,1949-08-15,22.5,16.9,1949-08-31
"		108",서울,Sep-49,20.8,26.5,31.3,1949-09-05,16.9,12,1949-09-23
"		108",서울,Oct-49,13.9,20.2,25.1,1949-10-02,9,-1.7,1949-10-31
"		108",서울,Nov-49,7,12.6,18.9,1949-11-08,2.1,-7.6,1949-11-18
"		108",서울,Dec-49,-1.3,3.4,16.4,1949-12-01,-5.7,-14.9,1949-12-29
"		108",서울,Jan-50,-1.3,2.5,10.1,1950-01-17,-5.2,-18,1950-01-07
"		108",서울,Feb-50,-0.4,3.5,9.3,1950-02-25,-3.9,-10.5,1950-02-04
"		108",서울,Mar-50,4.6,10.7,21.9,1950-03-30,-0.6,-9.3,1950-03-12
"		108",서울,Apr-50,13.1,20.2,27.8,1950-04-29,7.7,1.1,1950-04-08
"		108",서울,May-50,17.5,24.5,34.4,1950-05-30,12.5,7.4,1950-05-21
"		108",서울,Jun-50,20.8,26.8,32.5,1950-06-15,16.7,11.7,1950-06-04
"		108",서울,Jul-50,26,30.5,36.1,1950-07-27,22.6,16.5,1950-07-02
"		108",서울,Aug-50,26.5,32.7,36.9,1950-08-19,22.1,15.2,1950-08-24
"		108",서울,Sep-50,,,,,,,
"		108",서울,Oct-50,,,,,,,
"		108",서울,Dec-51,,,,,,,
"		108",서울,Jan-52,,,,,,,
"		108",서울,Feb-52,,,,,,,
"		108",서울,Mar-52,,,,,,,
"		108",서울,Apr-52,,,,,,,
"		108",서울,May-52,,,,,,,
"		108",서울,Jun-52,,,,,,,
"		108",서울,Jul-52,,,,,,,
"		108",서울,Sep-52,,,,,,,
"		108",서울,Oct-52,,,,,,,
"		108",서울,Nov-52,,,,,,,
"		108",서울,Dec-52,,,,,,,
"		108",서울,Jan-53,,,,,,,
"		108",서울,Feb-53,,,,,,,
"		108",서울,Mar-53,,,,,,,
"		108",서울,Apr-53,,,,,,,
"		108",서울,May-53,,,,,,,
"		108",서울,Jun-53,,,,,,,
"		108",서울,Jul-53,,,,,,,
"		108",서울,Aug-53,,,,,,,
"		108",서울,Sep-53,,,,,,,
"		108",서울,Oct-53,,,,,,,
"		108",서울,Nov-53,,,,,,,
"		108",서울,Dec-53,0.6,4.6,16.2,1953-12-01,-3.5,-9.2,1953-12-31
"		108",서울,Jan-54,-1.5,2.5,10.7,1954-01-20,-5.5,-11.9,1954-01-26
"		108",서울,Feb-54,0.4,5.1,12.2,1954-02-24,-4.3,-13.9,1954-02-03
"		108",서울,Mar-54,3.1,8.6,18.2,1954-03-26,-1.6,-7.8,1954-03-13
"		108",서울,Apr-54,11.8,18.4,26.8,1954-04-16,6.7,3,1954-04-21
"		108",서울,May-54,16.6,23.1,28.6,1954-05-20,11.7,7.8,1954-05-17
"		108",서울,Jun-54,19.6,24.6,30.4,1954-06-27,15.7,12.6,1954-06-02
"		108",서울,Jul-54,21.9,26.2,31.9,1954-07-16,18.9,13.6,1954-07-13
"		108",서울,Aug-54,25.7,30.3,34.3,1954-08-10,22.7,16.9,1954-08-01
"		108",서울,Sep-54,20.3,25.3,30,1954-09-04,16.5,10.2,1954-09-27
"		108",서울,Oct-54,12.5,18.4,25,1954-10-01,7.2,0.8,1954-10-31
"		108",서울,Nov-54,9.5,14.8,19.1,1954-11-23,4.5,-2.4,1954-11-18
"		108",서울,Dec-54,-2.7,1.5,10.9,1954-12-07,-6.9,-12.5,1954-12-27
"		108",서울,Jan-55,-5.6,-1,5.4,1955-01-23,-10.5,-17.2,1955-01-11
"		108",서울,Feb-55,-0.1,5.2,15.1,1955-02-26,-5.1,-14.3,1955-02-11
"		108",서울,Mar-55,4.4,9.5,16.2,1955-03-22,-0.2,-4.8,1955-03-10
"		108",서울,Apr-55,11.1,16.3,25,1955-04-12,6.5,-2.5,1955-04-04
"		108",서울,May-55,15.9,22.4,29,1955-05-10,11.1,8.2,1955-05-13
"		108",서울,Jun-55,21.4,27.3,33.8,1955-06-22,17.2,11.2,1955-06-02
"		108",서울,Jul-55,24.5,28.4,32.8,1955-07-26,21.8,17.9,1955-07-04
"		108",서울,Aug-55,26.2,31.9,35,1955-08-27,22,18.6,1955-08-31
"		108",서울,Sep-55,20.7,26.2,32.3,1955-09-06,16.3,11,1955-09-25
"		108",서울,Oct-55,12.6,18.4,27.3,1955-10-01,7.6,1.3,1955-10-08
"		108",서울,Nov-55,5.9,10.7,18.3,1955-11-14,1.2,-4.1,1955-11-17
"		108",서울,Dec-55,0.6,4.9,12.9,1955-12-05,-3.3,-9.7,1955-12-22
"		108",서울,Jan-56,-3.9,0.4,8.7,1956-01-04,-8.5,-15.7,1956-01-09
"		108",서울,Feb-56,-3.4,1.4,7.2,1956-02-26,-7.9,-13.1,1956-02-17
"		108",서울,Mar-56,3.7,8,15.8,1956-03-31,-0.3,-8.5,1956-03-12
"		108",서울,Apr-56,9.5,14.6,21.4,1956-04-22,5.3,1.4,1956-04-02
"		108",서울,May-56,15.1,21.5,26.7,1956-05-04,10.4,6.3,1956-05-02
"		108",서울,Jun-56,19.7,24.6,31.3,1956-06-02,16,12.4,1956-06-24
"		108",서울,Jul-56,24.3,28.1,34.7,1956-07-31,21.5,17.5,1956-07-07
"		108",서울,Aug-56,24.8,29.8,35,1956-08-02,21.1,15.5,1956-08-18
"		108",서울,Sep-56,20.4,25.5,30.3,1956-09-03,16.1,7.5,1956-09-27
"		108",서울,Oct-56,12.8,19.2,24.9,1956-10-01,7.2,-1.1,1956-10-20
"		108",서울,Nov-56,3.2,8.4,20.6,1956-11-02,-1.6,-8.8,1956-11-28
"		108",서울,Dec-56,-5.2,-1.1,8.9,1956-12-03,-9.6,-15.1,1956-12-23
"		108",서울,Jan-57,-3.5,0.5,6.6,1957-01-01,-7.6,-14.5,1957-01-22
"		108",서울,Feb-57,-4.3,-0.2,6.2,1957-02-05,-8.5,-17.3,1957-02-11
"		108",서울,Mar-57,0,4.7,13.8,1957-03-29,-3.8,-9.5,1957-03-13
"		108",서울,Apr-57,10.4,16.6,26.3,1957-04-29,5.4,-2.7,1957-04-01
"		108",서울,May-57,16.9,23.6,29.8,1957-05-23,11.8,8,1957-05-13
"		108",서울,Jun-57,20.1,26,32.5,1957-06-30,16,11.8,1957-06-08
"		108",서울,Jul-57,22.4,26.3,31,1957-07-24,19.9,17.8,1957-07-10
"		108",서울,Aug-57,24.1,28.9,33.5,1957-08-11,20.8,16,1957-08-31
"		108",서울,Sep-57,18.9,25.7,29,1957-09-03,13.4,6.6,1957-09-27
"		108",서울,Oct-57,12.5,18.6,27.2,1957-10-05,7.2,-0.4,1957-10-19
"		108",서울,Nov-57,8.3,13.7,17.5,1957-11-09,3.3,-5.8,1957-11-29
"		108",서울,Dec-57,-0.5,3.4,9.6,1957-12-11,-4.2,-10.6,1957-12-31
"		108",서울,Jan-58,-6,-1.9,8.6,1958-01-08,-10.6,-18.2,1958-01-16
"		108",서울,Feb-58,-0.8,3.6,14.1,1958-02-22,-4.7,-12.4,1958-02-01
"		108",서울,Mar-58,3.7,9.1,21.5,1958-03-24,-1,-11.2,1958-03-03
"		108",서울,Apr-58,10.8,16.2,27.3,1958-04-23,6.2,1.3,1958-04-01
"		108",서울,May-58,16.3,22.9,29.9,1958-05-29,11.2,7.3,1958-05-02
"		108",서울,Jun-58,22.2,29,37.2,1958-06-24,17.6,13.2,1958-06-04
"		108",서울,Jul-58,25.6,30.5,34.4,1958-07-22,22.5,19.4,1958-07-02
"		108",서울,Aug-58,23.8,28.4,33.2,1958-08-08,20.5,16.2,1958-08-21
"		108",서울,Sep-58,19.8,25,28.8,1958-09-01,15.8,6.6,1958-09-29
"		108",서울,Oct-58,12.7,18.4,25,1958-10-12,8,-1.8,1958-10-27
"		108",서울,Nov-58,6.7,11.3,18.9,1958-11-02,2.5,-3.3,1958-11-20
"		108",서울,Dec-58,4,8.3,12.1,1958-12-23,0,-3.2,1958-12-06
"		108",서울,Jan-59,-5.1,-0.7,9.8,1959-01-24,-9.5,-19.8,1959-01-05
"		108",서울,Feb-59,2.4,6.7,13.7,1959-02-05,-1.3,-8,1959-02-11
"		108",서울,Mar-59,6,10.8,18.2,1959-03-27,1.8,-5,1959-03-13
"		108",서울,Apr-59,10.2,15.8,24.2,1959-04-20,5.6,2,1959-04-14
"		108",서울,May-59,17.9,23.9,27.6,1959-05-27,13.1,9.6,1959-05-01
"		108",서울,Jun-59,20.4,25.6,31.8,1959-06-17,16.6,11.8,1959-06-01
